iter	Passed	Remaining
946	17612	15863
947	17630	15845
948	17653	15830
949	17674	15814
950	17694	15797
951	17714	15779
952	17738	15765
953	17758	15747
954	17777	15729
955	17797	15712
956	17816	15694
957	17834	15674
958	17853	15657
959	17873	15639
960	17890	15619
961	17908	15600
962	17926	15580
963	17943	15561
964	17961	15541
965	17980	15523
966	17998	15504
967	18013	15482
968	18030	15463
969	18045	15441
970	18064	15422
971	18081	15402
972	18098	15382
973	18113	15360
974	18129	15340
975	18145	15319
976	18161	15298
977	18175	15276
978	18190	15254
979	18207	15234
980	18224	15214
981	18239	15193
982	18256	15173
983	18273	15153
984	18289	15132
985	18305	15112
986	18321	15091
987	18337	15070
988	18352	15049
989	18367	15027
990	18383	15007
991	18399	14986
992	18414	14965
993	18429	14943
994	18447	14925
995	18463	14904
996	18478	14883
997	18494	14862
998	18510	14842
999	18527	14822
1000	18544	14802
1001	18561	14782
1002	18576	14761
1003	18591	14740
1004	18605	14718
1005	18622	14697
1006	18637	14677
1007	18653	14656
1008	18668	14635
1009	18683	14614
1010	18701	14594
1011	18716	14574
1012	18733	14554
1013	18749	14533
1014	18766	14513
1015	18782	14493
1016	18799	14473
1017	18813	14452
1018	18827	14430
1019	18842	14409
1020	18859	14389
1021	18874	14368
1022	18889	14346
1023	18905	14326
1024	18920	14305
1025	18937	14285
1026	18952	14264
1027	18969	14245
1028	18985	14225
1029	19001	14204
1030	19018	14185
1031	19033	14164
1032	19049	14144
1033	19065	14123
1034	19079	14102
1035	19095	14082
1036	19109	14060
1037	19127	14041
1038	19145	14022
1039	19160	14001
1040	19175	13980
1041	19190	13960
1042	19208	13941
1043	19227	13923
1044	19242	13902
1045	19263	13886
1046	19281	13867
1047	19298	13847
1048	19314	13827
1049	19330	13807
1050	19349	13789
1051	19380	13779
1052	19396	13759
1053	19412	13739
1054	19427	13718
1055	19443	13698
1056	19459	13678
1057	19475	13658
1058	19491	13638
1059	19505	13617
1060	19521	13597
1061	19539	13577
1062	19556	13559
1063	19574	13540
1064	19591	13520
1065	19606	13500
1066	19623	13480
1067	19638	13460
1068	19656	13441
1069	19672	13421
1070	19688	13401
1071	19703	13380
1072	19722	13362
1073	19741	13344
